TimeStamp,Value
20220928000439,23.12260866165161
20220928000440,21.11905813217163
20220928000441,10.107707977294922
20220928000442,7.490825653076172
20220928000443,4.796254634857178
20220928000444,29.120993614196777
20220928000445,29.88152503967285
20220928000446,24.287939071655273
20220928000447,23.425185680389404
20220928000448,11.358904838562012
20220928000449,9.23677682876587
20220928000450,28.613972663879395
20220928000451,28.64668369293213
20220928000452,26.39371156692505
20220928000453,25.445091724395752
20220928000454,22.2312331199646
20220928000455,21.352124214172363
20220928000456,21.04954719543457
20220928000457,22.562432289123535
20220928000458,21.646523475646973
20220928000459,21.147680282592773
20220928000500,25.75584650039673
20220928000501,24.582338333129883
20220928000502,28.03335189819336
20220928000503,26.67175531387329
20220928000504,50.3422737121582
20220928000505,15.778982639312744
20220928000506,35.37697792053223
20220928000507,122.4700927734375
20220928000508,26.005268096923828
20220928000510,25.776290893554688
20220928000511,11.67374849319458
20220928000512,52.145469188690186
20220928000513,21.31941318511963
20220928000514,15.325117111206055
20220928000515,15.325117111206055
20220928000516,18.870174884796143
20220928000517,19.786083698272705
20220928000518,19.8392391204834
20220928000519,18.514442443847656
20220928000520,19.20955181121826
20220928000521,21.691501140594482
20220928000522,20.448482036590576
20220928000523,21.38892412185669
20220928000524,21.66696786880493
20220928000525,24.296116828918457

